MEASURE:Migration type,SEX_ABS:Sex,AGE:Age,ASGS_2011:Region,FREQUENCY:Frequency,TIME:Time,Value,Flag Codes:Flags
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2014:2014,130,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2015:2015,150,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2016:2016,150,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2017:2017,120,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2018:2018,110,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2019:2019,120,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2004:2004,140,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2005:2005,170,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2006:2006,160,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2007:2007,190,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2008:2008,220,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2009:2009,240,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2010:2010,200,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2011:2011,250,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2012:2012,290,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2013:2013,250,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2014:2014,240,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2015:2015,260,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2016:2016,300,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2017:2017,260,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2018:2018,300,
1:NOM arrival,1:Males,A59:5 - 9,8:Australian Capital Territory,A:Annual,2019:2019,280,
